"Brian Bender","4761345477780373","510","11/25"
"Robert Gutierrez","6525743299105690","486","04/28"
"Stacey Hamilton","3548522248827269","931","04/33"
"Jacqueline Lyons","589842032080","665","05/35"
"Paul Alvarez","2416432298851568","305","04/33"
"Joshua Bridges","4026938345189156","462","04/33"
"Nicholas Smith","2720929002007073","173","07/29"
"Drew Hines","6596620848781961","929","07/27"
"Brandon Mahoney","345430063856408","194","09/27"
"Chris Sanchez","4261929854443885506","453","04/31"
"Nicole Warren","4003487102609888","846","04/30"
"Elizabeth Adkins","4540049128482802074","735","05/31"
"Jennifer Moore","3545214056073920","760","05/34"
"Chelsea Price","343048384466244","484","07/30"
"Nicholas Hoover","30087014679345","476","11/32"
"Nicole Rice","4810223012890869","161","03/34"
"Sean Scott","4910964959468966","138","04/34"
"Connie Blanchard","3564860816797731","921","04/33"
"Cassandra Lee","3576932269438232","303","07/30"
"Michael Beasley","180078727139642","984","11/26"
"Adam Stark","213119307664137","406","05/35"
"Eric Martinez","4023662528730791","632","09/28"
"Anthony Leblanc","4819282697093943","744","09/28"
"Alicia Mccormick","3513445185278992","284","06/29"
"Leslie Wilson","676320962597","341","03/35"
"Dakota Gardner","345441448558486","485","01/33"
"David Thompson","6011713594733430","767","08/27"
"Manuel Moss","180051964000397","551","01/35"
"Robert Crawford","4352097468855","862","11/31"
"Luke Downs","4101426065940501","171","07/28"
